item_id,Question,Final Answer,Reasoning,Option a,Option b,Option c,Option d,Language,Subdomain,Type,Domain
1215,একটি প্রতিযোগিতামূলক বাজারে ………. হল মূল্য নির্ধারক।,খ,বিকল্প ক: প্রতিষ্ঠান   বিকল্প খ: শিল্প   বিকল্প গ: ভোক্তা   বিকল্প ঘ: বাণিজ্য সমিতি,প্রতিষ্ঠান,শিল্প,ভোক্তা,বাণিজ্য সমিতি,bengali,,,
1215,स्पर्धात्मक बाजारात ………. हा किंमत ठरवणारा असतो.,ख,पर्याय क: फर्म   पर्याय ख: उद्योग   पर्याय ग: ग्राहक   पर्याय घ: व्यापारी संघ,फर्म,उद्योग,ग्राहक,व्यापारी संघ,marathi,,,
1215,સ્પર્ધાત્મક બજારમાં ………. ભાવ નક્કી કરનાર હોય છે.,ખ,વિકલ્પ ક: ફર્મ   વિકલ્પ ખ: ઉદ્યોગ   વિકલ્પ ગ: ગ્રાહક   વિકલ્પ ઘ: વેપાર સંઘ,ફર્મ,ઉદ્યોગ,ગ્રાહક,વેપાર સંઘ,gujarati,,,
1215,போட்டித் சந்தையில் ………. தான் விலை நிர்ணயிப்பவர்.,௨,விருப்பம் க: நிறுவனம்   விருப்பம் ஆ: தொழில்   விருப்பம் இ: நுகர்வோர்   விருப்பம் ஈ: வர்த்தக சங்கம்,நிறுவனம்,தொழில்,நுகர்வோர்,வர்த்தக சங்கம்,tamil,,,
1216,एकाधिकार   Monopoly  की मांग वक्र   Demand Curve  है,क,"एकाधिकार के मामले में, मांग वक्र औसत राजस्व   Average Revenue  वक्र के समान होता है, क्योंकि एकाधिकारकर्ता द्वारा बेची जाने वाली प्रत्येक मात्रा का मूल्य उसी मांग वक्र से निर्धारित होता है।",इसके औसत राजस्व वक्र के समान,इसके आपूर्ति वक्र के समान,कोई नहीं,कोई नहीं,hindi,,,
1216,একচেটিয়া বাজারের   Monopoly  চাহিদা বক্ররেখা হল,ক,"একচেটিয়া বাজারে, চাহিদা বক্ররেখা গড় আয়   Average Revenue  বক্ররেখার সমান হয়, কারণ একচেটিয়া বিক্রেতা যে পরিমাণ বিক্রি করে তার মূল্য সেই চাহিদা বক্ররেখা থেকেই নির্ধারিত হয়।",এর গড় আয় বক্ররেখার সমান,এর যোগান বক্ররেখার সমান,কোনওটাই নয়,কোনওটাই নয়,bengali,,,
1216,एकाधिकार   Monopoly  ची मागणी वक्र   Demand Curve  आहे,क,"एकाधिकाराच्या परिस्थितीत, मागणी वक्र हा सरासरी महसूल   Average Revenue  वक्रासारखाच असतो, कारण एकाधिकार विक्रेत्याने विकलेल्या प्रत्येक प्रमाणाचा दर त्या मागणी वक्रावरून ठरतो।",त्याच्या सरासरी महसूल वक्रासारखा,त्याच्या पुरवठा वक्रासारखा,काहीही नाही,काहीही नाही,marathi,,,
1216,એકાધિકાર   Monopoly  ની માંગ વક્રરેખા   Demand Curve  છે,ક,"એકાધિકારની સ્થિતિમાં, માંગ વક્રરેખા સરેરાશ આવક   Average Revenue  વક્રરેખા જેવી જ હોય છે, કારણ કે એકાધિકારી વેચનાર દ્વારા વેચાતી દરેક માત્રાનો ભાવ તે માંગ વક્રરેખા પરથી નક્કી થાય છે।",તેની સરેરાશ આવક વક્રરેખા જેવી,તેની પુરવઠા વક્રરેખા જેવી,કોઈ નહીં,કોઈ નહીં,gujarati,,,
1216,ஏகபோக   Monopoly  சந்தையின் கேள்வி வளைவு   Demand Curve  என்பது,௧,"ஏகபோக சந்தையில், கேள்வி வளைவு சராசரி வருவாய்   Average Revenue  வளைவுடன் ஒரே மாதிரியாக இருக்கும், ஏனெனில் ஏகபோக விற்பனையாளர் விற்கும் ஒவ்வொரு அளவிற்கும் விலை அந்த கேள்வி வளைவிலிருந்தே நிர்ணயிக்கப்படுகிறது.",அதன் சராசரி வருவாய் வளைவுடன் ஒரே மாதிரி,அதன் வழங்கல் வளைவுடன் ஒரே மாதிரி,எதுவும் இல்லை,எதுவும் இல்லை,tamil,,,
1217,किस स्थिति में किसी फर्म का लाभ अधिकतम होने की प्रथम क्रम की शर्त पूरी होती है?,ख,विकल्प क:     AC = MR            विकल्प ख:     MC = MR            विकल्प ग:     MR = AR            विकल्प घ:     AC = AR   ,    AC = MR   ,    MC = MR   ,    MR = AR   ,    AC = AR   ,hindi,,,
1217,কোন অবস্থায় একটি প্রতিষ্ঠানের মুনাফা সর্বাধিক হওয়ার প্রথম ক্রম শর্ত পূরণ হয়?,খ,বিকল্প ক:     AC = MR            বিকল্প খ:     MC = MR            বিকল্প গ:     MR = AR            বিকল্প ঘ:     AC = AR   ,    AC = MR   ,    MC = MR   ,    MR = AR   ,    AC = AR   ,bengali,,,
1217,कुठल्या परिस्थितीत एखाद्या फर्मचा नफा कमाल होण्यासाठीची प्रथम क्रम अट पूर्ण होते?,ख,पर्याय क:     AC = MR            पर्याय ख:     MC = MR            पर्याय ग:     MR = AR            पर्याय घ:     AC = AR   ,    AC = MR   ,    MC = MR   ,    MR = AR   ,    AC = AR   ,marathi,,,
1217,કઈ પરિસ્થિતિમાં કોઈ ફર્મનો નફો મહત્તમ થવા માટેની પ્રથમ ક્રમની શરત પૂર્ણ થાય છે?,ખ,વિકલ્પ ક:     AC = MR            વિકલ્પ ખ:     MC = MR            વિકલ્પ ગ:     MR = AR            વિકલ્પ ઘ:     AC = AR   ,    AC = MR   ,    MC = MR   ,    MR = AR   ,    AC = AR   ,gujarati,,,
1217,ஒரு நிறுவனத்தின் லாபம் அதிகபட்சமாக இருக்க வேண்டிய முதல் கட்ட நிபந்தனை எது?,௨,விருப்பம் அ:     AC = MR            விருப்பம் ஆ:     MC = MR            விருப்பம் இ:     MR = AR            விருப்பம் ஈ:     AC = AR   ,    AC = MR   ,    MC = MR   ,    MR = AR   ,    AC = AR   ,tamil,,,
1218,एआर वक्र और उद्योग की मांग वक्र समान होते हैं।,क,,एकाधिकार की स्थिति में,अल्पाधिकार की स्थिति में,एकाधिकारवादी प्रतिस्पर्धा की स्थिति में,संपूर्ण प्रतिस्पर्धा की स्थिति में,hindi,,,
1218,এআর বক্ররেখা এবং শিল্পের চাহিদা বক্ররেখা অভিন্ন।,ক,,একচেটিয়া বাজারের ক্ষেত্রে,অল্পসংখ্যক বিক্রেতার বাজারের ক্ষেত্রে,একচেটিয়া প্রতিযোগিতার ক্ষেত্রে,সম্পূর্ণ প্রতিযোগিতার ক্ষেত্রে,bengali,,,
1218,एआर वक्र आणि उद्योगाची मागणी वक्र एकसारखी असते.,क,,एकाधिकाराच्या परिस्थितीत,अल्पाधिकाराच्या परिस्थितीत,एकाधिकारवादी स्पर्धेच्या परिस्थितीत,संपूर्ण स्पर्धेच्या परिस्थितीत,marathi,,,
1218,એઆર વક્ર અને ઉદ્યોગની માંગ વક્ર એકસરખી હોય છે.,ક,,એકાધિકારની સ્થિતિમાં,અલ્પાધિકારની સ્થિતિમાં,એકાધિકારવાદી સ્પર્ધાની સ્થિતિમાં,સંપૂર્ણ સ્પર્ધાની સ્થિતિમાં,gujarati,,,
1218,ஏஆர் வளைவும் தொழில் தேவைக் வளைவும் ஒரே மாதிரியாக இருக்கும்.,௧,,ஏகபோக நிலைமையில்,சிலபோக நிலைமையில்,ஏகபோகப் போட்டி நிலைமையில்,சரியான போட்டி நிலைமையில்,tamil,,,
1219,OPEC का उदाहरण _________ है।,घ,"विकल्प   क : पूर्ण प्रतिस्पर्धा   विकल्प   ख : एकाधिकारवादी प्रतिस्पर्धा   विकल्प   ग : एकाधिकार   विकल्प   घ : कार्टेल — भारतीय लागत लेखाकार संस्थान के अनुसार, OPEC एक कार्टेल का उदाहरण है, जो बाज़ार के रूपों में आता है।",पूर्ण प्रतिस्पर्धा,एकाधिकारवादी प्रतिस्पर्धा,एकाधिकार,कार्टेल,hindi,,,
1219,OPEC একটি _________-এর উদাহরণ।,ঘ,"বিকল্প   ক : পূর্ণ প্রতিযোগিতা   বিকল্প   খ : একচেটিয়া প্রতিযোগিতা   বিকল্প   গ : একচেটিয়া   বিকল্প   ঘ : কার্টেল — দ্য ইনস্টিটিউট অফ কস্ট অ্যাকাউন্ট্যান্টস অফ ইন্ডিয়া অনুসারে, OPEC একটি কার্টেলের উদাহরণ, যা বাজারের প্রকারভেদে অন্তর্ভুক্ত।",পূর্ণ প্রতিযোগিতা,একচেটিয়া প্রতিযোগিতা,একচেটিয়া,কার্টেল,bengali,,,
1219,OPEC हे _________ चे उदाहरण आहे.,घ,"पर्याय   क : परिपूर्ण स्पर्धा   पर्याय   ख : एकाधिकारवादी स्पर्धा   पर्याय   ग : एकाधिकार   पर्याय   घ : कार्टेल — भारतीय किमत लेखापाल संस्थेच्या मते, OPEC हे कार्टेलचे उदाहरण आहे, जे बाजाराच्या प्रकारांमध्ये मोडते.",परिपूर्ण स्पर्धा,एकाधिकारवादी स्पर्धा,एकाधिकार,कार्टेल,marathi,,,
1219,OPEC એ _________ નું ઉદાહરણ છે.,ઘ,"વિકલ્પ   ક : સંપૂર્ણ સ્પર્ધા   વિકલ્પ   ખ : એકાધિકારવાદી સ્પર્ધા   વિકલ્પ   ગ : એકાધિકાર   વિકલ્પ   ઘ : કાર્ટેલ — ઈન્સ્ટિટ્યૂટ ઓફ કોસ્ટ અકાઉન્ટન્ટ્સ ઓફ ઇન્ડિયા મુજબ, OPEC એ કાર્ટેલનું ઉદાહરણ છે, જે બજારના સ્વરૂપોમાં આવે છે.",સંપૂર્ણ સ્પર્ધા,એકાધિકારવાદી સ્પર્ધા,એકાધિકાર,કાર્ટેલ,gujarati,,,
1219,OPEC என்பது _________ என்பதற்கான ஒரு எடுத்துக்காட்டு.,௪,"விருப்பம்   அ : முழுமையான போட்டி   விருப்பம்   ஆ : ஒரேநிலை போட்டி   விருப்பம்   இ : ஒரேநிலை   விருப்பம்   ஘ : கார்டெல் — இந்திய செலவுக் கணக்காளர்கள் நிறுவனம் கூறுவதன்படி, OPEC என்பது ஒரு கார்டெலின் எடுத்துக்காட்டு ஆகும், இது சந்தை வடிவங்களில் ஒன்று.",முழுமையான போட்டி,ஒரேநிலை போட்டி,ஒரேநிலை,கார்டெல்,tamil,,,
1220,प्रतिस्पर्धा का अभाव दर्शाता है,ख,विकल्प क: पूर्ण प्रतिस्पर्धा         विकल्प ख: एकाधिकार         विकल्प ग: अपूर्ण प्रतिस्पर्धा         विकल्प घ: भेदभाव,पूर्ण प्रतिस्पर्धा,एकाधिकार,अपूर्ण प्रतिस्पर्धा,भेदभाव,hindi,,,
1220,প্রতিযোগিতার অনুপস্থিতি বোঝায়,খ,বিকল্প ক: পূর্ণ প্রতিযোগিতা         বিকল্প খ: একচেটিয়া বাজার         বিকল্প গ: অপূর্ণ প্রতিযোগিতা         বিকল্প ঘ: বৈষম্য,পূর্ণ প্রতিযোগিতা,একচেটিয়া বাজার,অপূর্ণ প্রতিযোগিতা,বৈষম্য,bengali,,,
1220,स्पर्धेचा अभाव दर्शविते,ख,पर्याय क: परिपूर्ण स्पर्धा         पर्याय ख: एकाधिकार         पर्याय ग: अपूर्ण स्पर्धा         पर्याय घ: भेदभाव,परिपूर्ण स्पर्धा,एकाधिकार,अपूर्ण स्पर्धा,भेदभाव,marathi,,,
1220,સ્પર્ધાની ગેરહાજરી દર્શાવે છે,ખ,વિકલ્પ ક: સંપૂર્ણ સ્પર્ધા         વિકલ્પ ખ: એકાધિકાર         વિકલ્પ ગ: અપૂર્ણ સ્પર્ધા         વિકલ્પ ઘ: ભેદભાવ,સંપૂર્ણ સ્પર્ધા,એકાધિકાર,અપૂર્ણ સ્પર્ધા,ભેદભાવ,gujarati,,,
1220,போட்டியின் இல்லாமையை குறிக்கிறது,௨,விருப்பம் அ: முழுமையான போட்டி         விருப்பம் ஆ: ஒரேகைமை   Monopoly          விருப்பம் இ: குறைபாடுள்ள போட்டி         விருப்பம் ஈ: பாகுபாடு,முழுமையான போட்டி,ஒரேகைமை,குறைபாடுள்ள போட்டி,பாகுபாடு,tamil,,,
1221,"दीर्घावधि में, पूर्ण प्रतिस्पर्धा में एक फर्म कमाती है",क,"पूर्ण प्रतिस्पर्धा में दीर्घावधि में, बाजार में स्वतंत्र प्रवेश और निकास के कारण, सभी फर्में केवल सामान्य लाभ अर्जित करती हैं। असामान्य लाभ नए प्रतिस्पर्धियों को आकर्षित करता है, जिससे कीमतें घटती हैं और लाभ सामान्य स्तर पर आ जाता है।",केवल सामान्य लाभ,असामान्य लाभ,पिछले ५ वर्षों का औसत लाभ,पूंजी पर नियोजित लाभ का १२.३३ प्रतिशत,hindi,,,
1221,"দীর্ঘমেয়াদে, পূর্ণ প্রতিযোগিতায় একটি প্রতিষ্ঠান উপার্জন করে",ক,"পূর্ণ প্রতিযোগিতায় দীর্ঘমেয়াদে, বাজারে অবাধ প্রবেশ ও প্রস্থানের কারণে, সব প্রতিষ্ঠান কেবল স্বাভাবিক মুনাফা অর্জন করে। অস্বাভাবিক মুনাফা নতুন প্রতিযোগীদের আকর্ষণ করে, যার ফলে দাম কমে যায় এবং মুনাফা স্বাভাবিক স্তরে নেমে আসে।",শুধুমাত্র স্বাভাবিক মুনাফা,অস্বাভাবিক মুনাফা,গত ৫ বছরের গড় মুনাফা,মূলধনে বিনিয়োগকৃত মুনাফার ১২.৩৩ শতাংশ,bengali,,,
1221,"दीर्घकालात, परिपूर्ण स्पर्धेत एक फर्म कमावते",क,"परिपूर्ण स्पर्धेत दीर्घकालात, बाजारात मुक्त प्रवेश व निर्गमनामुळे सर्व फर्म्स फक्त सामान्य नफा कमावतात. असामान्य नफा नवीन स्पर्धकांना आकर्षित करतो, ज्यामुळे किंमती कमी होतात आणि नफा सामान्य पातळीवर येतो।",फक्त सामान्य नफा,असामान्य नफा,मागील ५ वर्षांचा सरासरी नफा,भांडवलावर मिळालेल्या नफ्याचा १२.३३ टक्के,marathi,,,
1221,"દીર્ઘગાળામાં, સંપૂર્ણ સ્પર્ધામાં એક ફર્મ કમાય છે",ક,"સંપૂર્ણ સ્પર્ધામાં દીર્ઘગાળામાં, બજારમાં મુક્ત પ્રવેશ અને નિષ્ક્રમણને કારણે, બધી ફર્મો માત્ર સામાન્ય નફો કમાય છે. અસામાન્ય નફો નવા સ્પર્ધકોને આકર્ષે છે, જેના કારણે ભાવ ઘટે છે અને નફો સામાન્ય સ્તરે આવી જાય છે.",માત્ર સામાન્ય નફો,અસામાન્ય નફો,ગત ૫ વર્ષનો સરેરાશ નફો,મૂડી પર મળેલા નફાનો ૧૨.૩૩ ટકા,gujarati,,,
1221,"நீண்ட காலத்தில், முழுமையான போட்டியில் ஒரு நிறுவனம் சம்பாதிப்பது",௧,"முழுமையான போட்டியில் நீண்ட காலத்தில், சந்தையில் சுதந்திர நுழைவு மற்றும் வெளியேற்றம் காரணமாக, அனைத்து நிறுவனங்களும் சாதாரண லாபம் மட்டுமே சம்பாதிக்கும். அசாதாரண லாபம் புதிய போட்டியாளர்களை ஈர்க்கும், இதனால் விலை குறைந்து லாபம் சாதாரண நிலைக்கு திரும்பும்.",சாதாரண லாபம் மட்டும்,அசாதாரண லாபம்,கடந்த ௫ ஆண்டுகளின் சராசரி லாபம்,மூலதனத்தில் ஈட்டிய லாபத்தின் ௧௨.௩௩ சதவீதம்,tamil,,,
1222,ओलिगोपॉली का अर्थ है,ख,"विकल्प   क : एकमात्र विक्रेता         विकल्प   ख : कुछ विक्रेता         विकल्प   ग : बड़ी संख्या में विक्रेता         विकल्प   घ : कोई खरीदार नहीं         ओलिगोपॉली एक ऐसा बाजार ढांचा है जिसमें कुछ विक्रेता होते हैं जो बाजार पर महत्वपूर्ण नियंत्रण रखते हैं। अतः सही उत्तर ""कुछ विक्रेता"" है।",एकमात्र विक्रेता,कुछ विक्रेता,बड़ी संख्या में विक्रेता,कोई खरीदार नहीं,hindi,,,
1222,অলিগোপলি অর্থ হল,খ,"বিকল্প   ক : একমাত্র বিক্রেতা         বিকল্প   খ : কয়েকজন বিক্রেতা         বিকল্প   গ : বিপুল সংখ্যক বিক্রেতা         বিকল্প   ঘ : কোনো ক্রেতা নেই         অলিগোপলি এমন একটি বাজার কাঠামো যেখানে কয়েকজন বিক্রেতা বাজারের উপর উল্লেখযোগ্য নিয়ন্ত্রণ রাখে। তাই সঠিক উত্তর ""কয়েকজন বিক্রেতা""।",একমাত্র বিক্রেতা,কয়েকজন বিক্রেতা,বিপুল সংখ্যক বিক্রেতা,কোনো ক্রেতা নেই,bengali,,,
1222,ओलिगोपॉली म्हणजे,ख,"पर्याय   क : एकमेव विक्रेता         पर्याय   ख : काही विक्रेते         पर्याय   ग : मोठ्या संख्येने विक्रेते         पर्याय   घ : एकही खरेदीदार नाही         ओलिगोपॉली हा असा बाजाररचना प्रकार आहे ज्यामध्ये काही विक्रेते बाजारावर लक्षणीय नियंत्रण ठेवतात. त्यामुळे योग्य उत्तर ""काही विक्रेते"" आहे.",एकमेव विक्रेता,काही विक्रेते,मोठ्या संख्येने विक्रेते,एकही खरेदीदार नाही,marathi,,,
1222,ઓલિગોપોલીનો અર્થ છે,ખ,"વિકલ્પ   ક : એકમાત્ર વેચનાર         વિકલ્પ   ખ : થોડા વેચનાર         વિકલ્પ   ગ : મોટી સંખ્યામાં વેચનાર         વિકલ્પ   ઘ : કોઈ ખરીદદારો નથી         ઓલિગોપોલી એ એવો બજાર માળખો છે જેમાં થોડા વેચનાર બજાર પર મહત્વપૂર્ણ નિયંત્રણ ધરાવે છે. તેથી સાચો જવાબ ""થોડા વેચનાર"" છે.",એકમાત્ર વેચનાર,થોડા વેચનાર,મોટી સંખ્યામાં વેચનાર,કોઈ ખરીદદારો નથી,gujarati,,,
1222,ஒலிகோபொலி என்பது,௨,"விருப்பம்   அ : ஒரே விற்பனையாளர்         விருப்பம்   ஆ : சில விற்பனையாளர்கள்         விருப்பம்   இ : அதிக எண்ணிக்கையிலான விற்பனையாளர்கள்         விருப்பம்   ஈ : எந்த வாங்குபவரும் இல்லை         ஒலிகோபொலி என்பது சில விற்பனையாளர்கள் சந்தையில் குறிப்பிடத்தக்க கட்டுப்பாட்டைக் கொண்டிருக்கும் சந்தை அமைப்பு ஆகும். எனவே சரியான பதில் ""சில விற்பனையாளர்கள்"" ஆகும்.",ஒரே விற்பனையாளர்,சில விற்பனையாளர்கள்,அதிக எண்ணிக்கையிலான விற்பனையாளர்கள்,எந்த வாங்குபவரும் இல்லை,tamil,,,
1223,पेनेट्रेशन प्राइसिंग को निम्नलिखित में से किसके द्वारा अपनाया जाता है?,क,पेनेट्रेशन प्राइसिंग एक ऐसी मूल्य निर्धारण रणनीति है जिसमें बाज़ार में प्रवेश करने और अधिक ग्राहकों को आकर्षित करने के लिए उत्पाद को प्रारंभ में कम मूल्य पर बेचा जाता है।,कम मूल्य,उच्च मूल्य,द्वैध मूल्य,समर्थन मूल्य,hindi,,,
1223,পেনিট্রেশন প্রাইসিং নিম্নলিখিত কোনটির মাধ্যমে গৃহীত হয়?,ক,পেনিট্রেশন প্রাইসিং হল এমন একটি মূল্য নির্ধারণ কৌশল যেখানে বাজারে প্রবেশ এবং অধিক গ্রাহক আকর্ষণের জন্য পণ্যটি প্রাথমিকভাবে কম দামে বিক্রি করা হয়।,কম দাম,উচ্চ দাম,দ্বৈত দাম,সহায়ক দাম,bengali,,,
1223,पेनेट्रेशन प्राइसिंग खालीलपैकी कोणत्या प्रकारे अवलंबिली जाते?,क,पेनेट्रेशन प्राइसिंग ही अशी किंमत धोरण आहे ज्यामध्ये बाजारपेठेत प्रवेश करण्यासाठी आणि अधिक ग्राहकांना आकर्षित करण्यासाठी उत्पादनाची सुरुवातीला कमी किंमत ठेवली जाते।,कमी किंमत,जास्त किंमत,दुहेरी किंमत,आधार किंमत,marathi,,,
1223,પેનેટ્રેશન પ્રાઇસિંગ નીચેના પૈકી કયા દ્વારા અપનાવવામાં આવે છે?,ક,પેનેટ્રેશન પ્રાઇસિંગ એ એવી કિંમતી રણનીતિ છે જેમાં બજારમાં પ્રવેશવા અને વધુ ગ્રાહકોને આકર્ષવા માટે ઉત્પાદનને શરૂઆતમાં ઓછી કિંમતે વેચવામાં આવે છે।,ઓછી કિંમત,ઉંચી કિંમત,દ્વિગુણ કિંમત,આધાર કિંમત,gujarati,,,
1223,பினிட்ரேஷன் ப்ரைசிங் கீழ்கண்டவற்றில் எதன் மூலம் ஏற்கப்படுகிறது?,௧,"பினிட்ரேஷன் ப்ரைசிங் என்பது சந்தையில் நுழையவும், அதிக வாடிக்கையாளர்களை ஈர்க்கவும் தயாரிப்பை ஆரம்பத்தில் குறைந்த விலையில் விற்பனை செய்யும் விலை நிர்ணய உத்தி ஆகும்.",குறைந்த விலை,உயர் விலை,இரட்டை விலை,ஆதரவு விலை,tamil,,,
1224,"क्षेत्रफल के आधार पर, बाज़ारों को _____________ प्रकारों में वर्गीकृत किया जाता है।",ख,"क्षेत्रफल के आधार पर बाज़ारों का वर्गीकरण करने पर, इन्हें सामान्यतः तीन प्रकारों में विभाजित किया जाता है।",2,3,4,5,hindi,,,
1224,"ক্ষেত্রফলের ভিত্তিতে, বাজারকে _____________ প্রকারে শ্রেণীবদ্ধ করা হয়।",খ,ক্ষেত্রফলের ভিত্তিতে বাজার সাধারণত তিন প্রকারে বিভক্ত করা হয়।,2,3,4,5,bengali,,,
1224,"क्षेत्रफळाच्या आधारावर, बाजारांचे _____________ प्रकारांमध्ये वर्गीकरण केले जाते.",ख,"क्षेत्रफळाच्या आधारावर बाजारांचे वर्गीकरण केल्यास, ते सामान्यतः तीन प्रकारांमध्ये विभागले जातात.",2,3,4,5,marathi,,,
1224,"વિસ્તારના આધારે, બજારોને _____________ પ્રકારોમાં વર્ગીકૃત કરવામાં આવે છે.",ખ,વિસ્તારના આધારે બજારોને સામાન્ય રીતે ત્રણ પ્રકારોમાં વહેંચવામાં આવે છે.,2,3,4,5,gujarati,,,
1224,"பரப்பளவை அடிப்படையாகக் கொண்டு, சந்தைகள் _____________ வகைகளாக வகைப்படுத்தப்படுகின்றன.",௨,பரப்பளவை அடிப்படையாகக் கொண்டு சந்தைகள் பொதுவாக மூன்று வகைகளாகப் பிரிக்கப்படுகின்றன.,2,3,4,5,tamil,,,
1225,निम्नलिखित में से कौन-सा एकाधिकारवादी प्रतिस्पर्धा की विशेषता नहीं है?,ग,विकल्प क: उत्पाद भेदभाव   विकल्प ख: अनेक उत्पादक   विकल्प ग: विज्ञापन का अभाव   विकल्प घ: मूल्य पर आंशिक नियंत्रण,उत्पाद भेदभाव,अनेक उत्पादक,विज्ञापन का अभाव,मूल्य पर आंशिक नियंत्रण,hindi,,,
1225,নিম্নলিখিতগুলির মধ্যে কোনটি একচেটিয়া প্রতিযোগিতার বৈশিষ্ট্য নয়?,গ,বিকল্প ক: পণ্যের ভিন্নতা   বিকল্প খ: বহু উৎপাদক   বিকল্প গ: বিজ্ঞাপনের অনুপস্থিতি   বিকল্প ঘ: দামের উপর আংশিক নিয়ন্ত্রণ,পণ্যের ভিন্নতা,বহু উৎপাদক,বিজ্ঞাপনের অনুপস্থিতি,দামের উপর আংশিক নিয়ন্ত্রণ,bengali,,,
1225,खालीलपैकी कोणते एकाधिकारवादी स्पर्धेचे वैशिष्ट्य नाही?,ग,पर्याय क: उत्पादन भेदभाव   पर्याय ख: अनेक उत्पादक   पर्याय ग: जाहिरातीचा अभाव   पर्याय घ: किंमतीवर आंशिक नियंत्रण,उत्पादन भेदभाव,अनेक उत्पादक,जाहिरातीचा अभाव,किंमतीवर आंशिक नियंत्रण,marathi,,,
1225,નીચેના પૈકી કયું એકાધિકારવાદી સ્પર્ધાનું લક્ષણ નથી?,ગ,વિકલ્પ ક: ઉત્પાદન ભેદભાવ   વિકલ્પ ખ: ઘણા ઉત્પાદકો   વિકલ્પ ગ: જાહેરાતનો અભાવ   વિકલ્પ ઘ: કિંમતે આંશિક નિયંત્રણ,ઉત્પાદન ભેદભાવ,ઘણા ઉત્પાદકો,જાહેરાતનો અભાવ,કિંમતે આંશિક નિયંત્રણ,gujarati,,,
1225,பின்வருவனவற்றில் எது ஒரேச்சந்தை போட்டியின் பண்பாகாது?,௩,விருப்பம் அ: தயாரிப்பு வேறுபாடு   விருப்பம் ஆ: பல உற்பத்தியாளர்கள்   விருப்பம் இ: விளம்பரத்தின் இல்லாமை   விருப்பம் ஈ: விலைக்கு பகுதி கட்டுப்பாடு,தயாரிப்பு வேறுபாடு,பல உற்பத்தியாளர்கள்,விளம்பரத்தின் இல்லாமை,விலைக்கு பகுதி கட்டுப்பாடு,tamil,,,
1226,एक ही वस्तु को विभिन्न विक्रय मूल्यों पर बेचने की मूल्य निर्धारण पद्धति को क्या कहा जाता है?,ख,विकल्प क: स्किमिंग प्राइसिंग         विकल्प ख: डिफरेंशियल प्राइसिंग         विकल्प ग: पेनिट्रेशन प्राइसिंग         विकल्प घ: कॉस्ट-प्लस प्राइसिंग,स्किमिंग प्राइसिंग,डिफरेंशियल प्राइसिंग,पेनिट्रेशन प्राइसिंग,कॉस्ट-प्लस प्राइसिंग,hindi,,,
1226,একই পণ্যকে বিভিন্ন বিক্রয় মূল্যে বিক্রি করার মূল্য নির্ধারণ পদ্ধতিকে কী বলা হয়?,খ,বিকল্প ক: স্কিমিং প্রাইসিং         বিকল্প খ: ডিফারেনশিয়াল প্রাইসিং         বিকল্প গ: পেনিট্রেশন প্রাইসিং         বিকল্প ঘ: কস্ট-প্লাস প্রাইসিং,স্কিমিং প্রাইসিং,ডিফারেনশিয়াল প্রাইসিং,পেনিট্রেশন প্রাইসিং,কস্ট-প্লাস প্রাইসিং,bengali,,,
1226,समान वस्तू वेगवेगळ्या विक्री किमतींना विकण्याच्या किंमत निर्धारण पद्धतीस काय म्हणतात?,ख,पर्याय क: स्किमिंग प्राइसिंग         पर्याय ख: डिफरेंशियल प्राइसिंग         पर्याय ग: पेनिट्रेशन प्राइसिंग         पर्याय घ: कॉस्ट-प्लस प्राइसिंग,स्किमिंग प्राइसिंग,डिफरेंशियल प्राइसिंग,पेनिट्रेशन प्राइसिंग,कॉस्ट-प्लस प्राइसिंग,marathi,,,
1226,એક જ વસ્તુને અલગ-અલગ વેચાણ કિંમતે વેચવાની કિંમત નક્કી કરવાની પદ્ધતિને શું કહેવામાં આવે છે?,ખ,વિકલ્પ ક: સ્કિમિંગ પ્રાઇસિંગ         વિકલ્પ ખ: ડિફરેનશિયલ પ્રાઇસિંગ         વિકલ્પ ગ: પેનેટ્રેશન પ્રાઇસિંગ         વિકલ્પ ઘ: કોસ્ટ-પ્લસ પ્રાઇસિંગ,સ્કિમિંગ પ્રાઇસિંગ,ડિફરેનશિયલ પ્રાઇસિંગ,પેનેટ્રેશન પ્રાઇસિંગ,કોસ્ટ-પ્લસ પ્રાઇસિંગ,gujarati,,,
1226,ஒரே பொருளை வெவ்வேறு விற்பனை விலைகளில் விற்பனை செய்யும் விலை நிர்ணய முறையை என்ன என்று அழைக்கப்படுகிறது?,௨,விருப்பம் அ: ஸ்கிம்மிங் பிரைசிங்         விருப்பம் ஆ: டிஃபரென்ஷியல் பிரைசிங்         விருப்பம் இ: பெனிட்ரேஷன் பிரைசிங்         விருப்பம் ஈ: காஸ்ட்-ப்ளஸ் பிரைசிங்,ஸ்கிம்மிங் பிரைசிங்,டிஃபரென்ஷியல் பிரைசிங்,பெனிட்ரேஷன் பிரைசிங்,காஸ்ட்-ப்ளஸ் பிரைசிங்,tamil,,,
1227,रेलवे एक पूर्ण प्रतिस्पर्धा वाले बाज़ार का उदाहरण है।,ख,विकल्प क: सत्य         विकल्प ख: असत्य         विकल्प ग: कोई नहीं         विकल्प घ: कोई नहीं,सत्य,असत्य,कोई नहीं,कोई नहीं,hindi,,,
